Ball Number,Score,Comment
7.5,1wd,"Chaturanga de Silva to Yasir Ali Chowdhury, 1 wide, Wide Ball !! arm ball good length on the leg stump, Chaturanga De Silva has sent that one, way down the leg side. The umpire signals it wide."
7.4,1,"Chaturanga de Silva to Anamul Haque Bijoy, 1 run, Anamul Haque Bijoy goes back to take off break ball of good length aimed on the off stump, executing a confident defensive shot that sent the ball sailing towards short cover for 1 run."
7.3,1,"Chaturanga de Silva to Yasir Ali Chowdhury, 1 run, off break ball, good length, on the off stump, goes back, plays pull, towards the deep mid wicket for 1 run."
7.2,0,"Chaturanga de Silva to Yasir Ali Chowdhury, no run, Dot ball !! off break ball, good length, on the off stump, goes back, plays cut to the slip."
7.1,6,"Chaturanga de Silva to Yasir Ali Chowdhury, Six, Six !! What a delivery! arm ball lands right on the stumps, Yasir Ali Chowdhury goes back, exhibits impeccable timing as batter hammers pull sending it flying to the deep mid wicket region for a remarkable Maximum!"
6.6,1,"Nazmul Islam to Yasir Ali Chowdhury, 1 run, Yasir Ali Chowdhury goes back to take arm ball of good length aimed on the off stump, executing a confident cut that sent the ball sailing towards deep point for 1 run."
6.5,0,"Nazmul Islam to Yasir Ali Chowdhury, no run, Dot ball !! top spinner, good length, on the off stump, Yasir Ali Chowdhury goes back to make a room for himself, but left it alone for the keeper to collect at the last moment."
6.4,1,"Nazmul Islam to Anamul Haque Bijoy, 1 run, off break ball, good length, on the off stump, goes forward, plays push, towards the short cover for 1 run."
6.3,4,"Nazmul Islam to Anamul Haque Bijoy, Four, Four !! off break ball, good length, on the off stump. Anamul Haque Bijoy goes back, hits cut in the gap towards third man, and ball finds the ropes in a flash for four."
6.2,0,"Nazmul Islam to Anamul Haque Bijoy, no run, Dot ball !! top spinner, good length, on the off stump, Anamul Haque Bijoy goes forward and strives to hit defensive shot, aiming to fend it off, but ball is too tricky to hit."
